Job runs on node:
eu-g9-024-3
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=4
NUMMIDDLEQUBIT=2
EPOCHS=5000
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 4 -nt 2 -b 10 -e 5000 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
['runs/10/loss_train0', 'runs/10/loss_val0', 'runs/10/weights0']
Running AE with 4 input qubit and 2 trash qubit in batches of 10

Epoch 9, 	Batch:3, 	Train Loss = 0.404283, 	Val Loss = 0.318346
Epoch 9, 	Batch:4, 	Train Loss = 0.406694, 	Val Loss = 0.318346
Epoch 9, 	Batch:5, 	Train Loss = 0.393187, 	Val Loss = 0.318346
Epoch 9, 	Batch:6, 	Train Loss = 0.405045, 	Val Loss = 0.318346
Epoch 9, 	Batch:7, 	Train Loss = 0.386937, 	Val Loss = 0.318346
Epoch 10, 	Batch:0, 	Train Loss = 0.344156, 	Val Loss = 0.319694
Epoch 10, 	Batch:1, 	Train Loss = 0.376674, 	Val Loss = 0.319694
Epoch 10, 	Batch:2, 	Train Loss = 0.369104, 	Val Loss = 0.319694
Epoch 10, 	Batch:3, 	Train Loss = 0.398803, 	Val Loss = 0.319694
Epoch 10, 	Batch:4, 	Train Loss = 0.388477, 	Val Loss = 0.319694
Epoch 10, 	Batch:5, 	Train Loss = 0.379076, 	Val Loss = 0.319694
Epoch 10, 	Batch:6, 	Train Loss = 0.395804, 	Val Loss = 0.319694
Epoch 10, 	Batch:7, 	Train Loss = 0.381978, 	Val Loss = 0.319694
Epoch 11, 	Batch:0, 	Train Loss = 0.299139, 	Val Loss = 0.268684
Epoch 11, 	Batch:1, 	Train Loss = 0.371149, 	Val Loss = 0.268684
Epoch 11, 	Batch:2, 	Train Loss = 0.383681, 	Val Loss = 0.268684
Epoch 11, 	Batch:3, 	Train Loss = 0.390183, 	Val Loss = 0.268684
Epoch 11, 	Batch:4, 	Train Loss = 0.382093, 	Val Loss = 0.268684
Epoch 11, 	Batch:5, 	Train Loss = 0.400881, 	Val Loss = 0.268684
Epoch 11, 	Batch:6, 	Train Loss = 0.420581, 	Val Loss = 0.268684
Epoch 11, 	Batch:7, 	Train Loss = 0.404260, 	Val Loss = 0.268684
Epoch 12, 	Batch:0, 	Train Loss = 0.414678, 	Val Loss = 0.407917
Epoch 12, 	Batch:1, 	Train Loss = 0.418643, 	Val Loss = 0.407917
Epoch 12, 	Batch:2, 	Train Loss = 0.394242, 	Val Loss = 0.407917
Epoch 12, 	Batch:3, 	Train Loss = 0.392296, 	Val Loss = 0.407917
Epoch 12, 	Batch:4, 	Train Loss = 0.402070, 	Val Loss = 0.407917
Epoch 12, 	Batch:5, 	Train Loss = 0.408368, 	Val Loss = 0.407917
Epoch 12, 	Batch:6, 	Train Loss = 0.434312, 	Val Loss = 0.407917
Epoch 12, 	Batch:7, 	Train Loss = 0.419001, 	Val Loss = 0.407917
Epoch 13, 	Batch:0, 	Train Loss = 0.336567, 	Val Loss = 0.358962
Epoch 13, 	Batch:1, 	Train Loss = 0.391826, 	Val Loss = 0.358962
Epoch 13, 	Batch:2, 	Train Loss = 0.417421, 	Val Loss = 0.358962
Epoch 13, 	Batch:3, 	Train Loss = 0.433628, 	Val Loss = 0.358962
Epoch 13, 	Batch:4, 	Train Loss = 0.431577, 	Val Loss = 0.358962
Epoch 13, 	Batch:5, 	Train Loss = 0.441832, 	Val Loss = 0.358962
Epoch 13, 	Batch:6, 	Train Loss = 0.450119, 	Val Loss = 0.358962
Epoch 13, 	Batch:7, 	Train Loss = 0.443098, 	Val Loss = 0.358962
Epoch 14, 	Batch:0, 	Train Loss = 0.376746, 	Val Loss = 0.339096
Epoch 14, 	Batch:1, 	Train Loss = 0.429451, 	Val Loss = 0.339096
Epoch 14, 	Batch:2, 	Train Loss = 0.407058, 	Val Loss = 0.339096
Epoch 14, 	Batch:3, 	Train Loss = 0.424189, 	Val Loss = 0.339096
Epoch 14, 	Batch:4, 	Train Loss = 0.434569, 	Val Loss = 0.339096
Epoch 14, 	Batch:5, 	Train Loss = 0.433429, 	Val Loss = 0.339096
Epoch 14, 	Batch:6, 	Train Loss = 0.447502, 	Val Loss = 0.339096
Epoch 14, 	Batch:7, 	Train Loss = 0.442995, 	Val Loss = 0.339096
Epoch 15, 	Batch:0, 	Train Loss = 0.386814, 	Val Loss = 0.378203
Epoch 15, 	Batch:1, 	Train Loss = 0.419402, 	Val Loss = 0.378203
Epoch 15, 	Batch:2, 	Train Loss = 0.416997, 	Val Loss = 0.378203
Epoch 15, 	Batch:3, 	Train Loss = 0.437851, 	Val Loss = 0.378203
Epoch 15, 	Batch:4, 	Train Loss = 0.431314, 	Val Loss = 0.378203
Epoch 15, 	Batch:5, 	Train Loss = 0.415142, 	Val Loss = 0.378203
Epoch 15, 	Batch:6, 	Train Loss = 0.434496, 	Val Loss = 0.378203
Epoch 15, 	Batch:7, 	Train Loss = 0.433064, 	Val Loss = 0.378203
Epoch 16, 	Batch:0, 	Train Loss = 0.388043, 	Val Loss = 0.389977
Epoch 16, 	Batch:1, 	Train Loss = 0.426893, 	Val Loss = 0.389977
Epoch 16, 	Batch:2, 	Train Loss = 0.416182, 	Val Loss = 0.389977
Epoch 16, 	Batch:3, 	Train Loss = 0.424433, 	Val Loss = 0.389977
Epoch 16, 	Batch:4, 	Train Loss = 0.414316, 	Val Loss = 0.389977
Epoch 16, 	Batch:5, 	Train Loss = 0.407104, 	Val Loss = 0.389977
Epoch 16, 	Batch:6, 	Train Loss = 0.438025, 	Val Loss = 0.389977
Epoch 16, 	Batch:7, 	Train Loss = 0.422712, 	Val Loss = 0.389977
Epoch 17, 	Batch:0, 	Train Loss = 0.334124, 	Val Loss = 0.372342
Epoch 17, 	Batch:1, 	Train Loss = 0.365873, 	Val Loss = 0.372342
Epoch 17, 	Batch:2, 	Train Loss = 0.371846, 	Val Loss = 0.372342
Epoch 17, 	Batch:3, 	Train Loss = 0.379956, 	Val Loss = 0.372342
Epoch 17, 	Batch:4, 	Train Loss = 0.370746, 	Val Loss = 0.372342
Epoch 17, 	Batch:5, 	Train Loss = 0.362342, 	Val Loss = 0.372342
Epoch 17, 	Batch:6, 	Train Loss = 0.391414, 	Val Loss = 0.372342
Epoch 17, 	Batch:7, 	Train Loss = 0.393884, 	Val Loss = 0.372342
Epoch 18, 	Batch:0, 	Train Loss = 0.372793, 	Val Loss = 0.314016
Epoch 18, 	Batch:1, 	Train Loss = 0.438219, 	Val Loss = 0.314016
Epoch 18, 	Batch:2, 	Train Loss = 0.460421, 	Val Loss = 0.314016
Epoch 18, 	Batch:3, 	Train Loss = 0.458548, 	Val Loss = 0.314016
Epoch 18, 	Batch:4, 	Train Loss = 0.439176, 	Val Loss = 0.314016
Epoch 18, 	Batch:5, 	Train Loss = 0.432453, 	Val Loss = 0.314016
Epoch 18, 	Batch:6, 	Train Loss = 0.462184, 	Val Loss = 0.314016
