Job runs on node:
eu-g5-047-2
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=50
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 10 -e 50 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
Running AE with 8 input qubit and 1 trash qubit in batches of 10

Epoch 9, 	Batch:4, 	Train Loss = 0.226924, 	Val Loss = 0.248279
Epoch 9, 	Batch:5, 	Train Loss = 0.216454, 	Val Loss = 0.248279
Epoch 9, 	Batch:6, 	Train Loss = 0.212198, 	Val Loss = 0.248279
Epoch 9, 	Batch:7, 	Train Loss = 0.214210, 	Val Loss = 0.248279
Epoch 10, 	Batch:0, 	Train Loss = 0.203148, 	Val Loss = 0.182942
Epoch 10, 	Batch:1, 	Train Loss = 0.203082, 	Val Loss = 0.182942
Epoch 10, 	Batch:2, 	Train Loss = 0.200312, 	Val Loss = 0.182942
Epoch 10, 	Batch:3, 	Train Loss = 0.172320, 	Val Loss = 0.182942
Epoch 10, 	Batch:4, 	Train Loss = 0.167270, 	Val Loss = 0.182942
Epoch 10, 	Batch:5, 	Train Loss = 0.163238, 	Val Loss = 0.182942
Epoch 10, 	Batch:6, 	Train Loss = 0.165052, 	Val Loss = 0.182942
Epoch 10, 	Batch:7, 	Train Loss = 0.170782, 	Val Loss = 0.182942
Epoch 11, 	Batch:0, 	Train Loss = 0.213139, 	Val Loss = 0.234082
Epoch 11, 	Batch:1, 	Train Loss = 0.230052, 	Val Loss = 0.234082
Epoch 11, 	Batch:2, 	Train Loss = 0.228722, 	Val Loss = 0.234082
Epoch 11, 	Batch:3, 	Train Loss = 0.200947, 	Val Loss = 0.234082
Epoch 11, 	Batch:4, 	Train Loss = 0.166008, 	Val Loss = 0.234082
Epoch 11, 	Batch:5, 	Train Loss = 0.176049, 	Val Loss = 0.234082
Epoch 11, 	Batch:6, 	Train Loss = 0.171260, 	Val Loss = 0.234082
Epoch 11, 	Batch:7, 	Train Loss = 0.182206, 	Val Loss = 0.234082
Epoch 12, 	Batch:0, 	Train Loss = 0.301419, 	Val Loss = 0.237780
Epoch 12, 	Batch:1, 	Train Loss = 0.287410, 	Val Loss = 0.237780
Epoch 12, 	Batch:2, 	Train Loss = 0.221511, 	Val Loss = 0.237780
Epoch 12, 	Batch:3, 	Train Loss = 0.219867, 	Val Loss = 0.237780
Epoch 12, 	Batch:4, 	Train Loss = 0.226526, 	Val Loss = 0.237780
