Job runs on node:
eu-g9-040-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=8
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=1
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 8 -e 300 -v 0.2 -sz 0.2 -of 'runs/ed' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 7, 	Batch:8, 	Train Loss = 0.139088, 	Val Loss = 0.030200
Epoch 7, 	Batch:9, 	Train Loss = 0.134649, 	Val Loss = 0.030200
Epoch 8, 	Batch:0, 	Train Loss = 0.148783, 	Val Loss = 0.127028
Epoch 8, 	Batch:1, 	Train Loss = 0.101235, 	Val Loss = 0.127028
Epoch 8, 	Batch:2, 	Train Loss = 0.127393, 	Val Loss = 0.127028
Epoch 8, 	Batch:3, 	Train Loss = 0.140142, 	Val Loss = 0.127028
Epoch 8, 	Batch:4, 	Train Loss = 0.129069, 	Val Loss = 0.127028
Epoch 8, 	Batch:5, 	Train Loss = 0.131079, 	Val Loss = 0.127028
Epoch 8, 	Batch:6, 	Train Loss = 0.129140, 	Val Loss = 0.127028
Epoch 8, 	Batch:7, 	Train Loss = 0.131245, 	Val Loss = 0.127028
Epoch 8, 	Batch:8, 	Train Loss = 0.134346, 	Val Loss = 0.127028
Epoch 8, 	Batch:9, 	Train Loss = 0.139496, 	Val Loss = 0.127028
Epoch 9, 	Batch:0, 	Train Loss = 0.158468, 	Val Loss = 0.117131
Epoch 9, 	Batch:1, 	Train Loss = 0.132954, 	Val Loss = 0.117131
Epoch 9, 	Batch:2, 	Train Loss = 0.140495, 	Val Loss = 0.117131
Epoch 9, 	Batch:3, 	Train Loss = 0.134949, 	Val Loss = 0.117131
Epoch 9, 	Batch:4, 	Train Loss = 0.140425, 	Val Loss = 0.117131
Epoch 9, 	Batch:5, 	Train Loss = 0.131233, 	Val Loss = 0.117131
Epoch 9, 	Batch:6, 	Train Loss = 0.136795, 	Val Loss = 0.117131
Epoch 9, 	Batch:7, 	Train Loss = 0.142123, 	Val Loss = 0.117131
Epoch 9, 	Batch:8, 	Train Loss = 0.148216, 	Val Loss = 0.117131
Epoch 9, 	Batch:9, 	Train Loss = 0.150579, 	Val Loss = 0.117131
Epoch 10, 	Batch:0, 	Train Loss = 0.176251, 	Val Loss = 0.160728
Epoch 10, 	Batch:1, 	Train Loss = 0.160149, 	Val Loss = 0.160728
Epoch 10, 	Batch:2, 	Train Loss = 0.166129, 	Val Loss = 0.160728
Epoch 10, 	Batch:3, 	Train Loss = 0.153341, 	Val Loss = 0.160728
Epoch 10, 	Batch:4, 	Train Loss = 0.146358, 	Val Loss = 0.160728
Epoch 10, 	Batch:5, 	Train Loss = 0.146092, 	Val Loss = 0.160728
Epoch 10, 	Batch:6, 	Train Loss = 0.144008, 	Val Loss = 0.160728
Epoch 10, 	Batch:7, 	Train Loss = 0.149848, 	Val Loss = 0.160728
Epoch 10, 	Batch:8, 	Train Loss = 0.146623, 	Val Loss = 0.160728
Epoch 10, 	Batch:9, 	Train Loss = 0.149921, 	Val Loss = 0.160728
Epoch 11, 	Batch:0, 	Train Loss = 0.138801, 	Val Loss = 0.213045
Epoch 11, 	Batch:1, 	Train Loss = 0.158516, 	Val Loss = 0.213045
Epoch 11, 	Batch:2, 	Train Loss = 0.148640, 	Val Loss = 0.213045
Epoch 11, 	Batch:3, 	Train Loss = 0.132991, 	Val Loss = 0.213045
Epoch 11, 	Batch:4, 	Train Loss = 0.142145, 	Val Loss = 0.213045
Epoch 11, 	Batch:5, 	Train Loss = 0.136392, 	Val Loss = 0.213045
Epoch 11, 	Batch:6, 	Train Loss = 0.141839, 	Val Loss = 0.213045
Epoch 11, 	Batch:7, 	Train Loss = 0.147469, 	Val Loss = 0.213045
Epoch 11, 	Batch:8, 	Train Loss = 0.148673, 	Val Loss = 0.213045
Epoch 11, 	Batch:9, 	Train Loss = 0.149628, 	Val Loss = 0.213045
Epoch 12, 	Batch:0, 	Train Loss = 0.137195, 	Val Loss = 0.129052
Epoch 12, 	Batch:1, 	Train Loss = 0.130910, 	Val Loss = 0.129052
Epoch 12, 	Batch:2, 	Train Loss = 0.134059, 	Val Loss = 0.129052
Epoch 12, 	Batch:3, 	Train Loss = 0.127216, 	Val Loss = 0.129052
Epoch 12, 	Batch:4, 	Train Loss = 0.119019, 	Val Loss = 0.129052
Epoch 12, 	Batch:5, 	Train Loss = 0.136487, 	Val Loss = 0.129052
Epoch 12, 	Batch:6, 	Train Loss = 0.141955, 	Val Loss = 0.129052
Epoch 12, 	Batch:7, 	Train Loss = 0.147062, 	Val Loss = 0.129052
Epoch 12, 	Batch:8, 	Train Loss = 0.142527, 	Val Loss = 0.129052
Epoch 12, 	Batch:9, 	Train Loss = 0.142862, 	Val Loss = 0.129052
Epoch 13, 	Batch:0, 	Train Loss = 0.201479, 	Val Loss = 0.120875
Epoch 13, 	Batch:1, 	Train Loss = 0.189610, 	Val Loss = 0.120875
Epoch 13, 	Batch:2, 	Train Loss = 0.173583, 	Val Loss = 0.120875
Epoch 13, 	Batch:3, 	Train Loss = 0.155727, 	Val Loss = 0.120875
Epoch 13, 	Batch:4, 	Train Loss = 0.153013, 	Val Loss = 0.120875
Epoch 13, 	Batch:5, 	Train Loss = 0.152886, 	Val Loss = 0.120875
Epoch 13, 	Batch:6, 	Train Loss = 0.154632, 	Val Loss = 0.120875
Epoch 13, 	Batch:7, 	Train Loss = 0.148850, 	Val Loss = 0.120875
Epoch 13, 	Batch:8, 	Train Loss = 0.142524, 	Val Loss = 0.120875
Epoch 13, 	Batch:9, 	Train Loss = 0.139082, 	Val Loss = 0.120875
Epoch 14, 	Batch:0, 	Train Loss = 0.103856, 	Val Loss = 0.155053
Epoch 14, 	Batch:1, 	Train Loss = 0.129068, 	Val Loss = 0.155053
Epoch 14, 	Batch:2, 	Train Loss = 0.159368, 	Val Loss = 0.155053
Epoch 14, 	Batch:3, 	Train Loss = 0.143270, 	Val Loss = 0.155053
Epoch 14, 	Batch:4, 	Train Loss = 0.158561, 	Val Loss = 0.155053
Epoch 14, 	Batch:5, 	Train Loss = 0.161519, 	Val Loss = 0.155053
Epoch 14, 	Batch:6, 	Train Loss = 0.160307, 	Val Loss = 0.155053
Epoch 14, 	Batch:7, 	Train Loss = 0.155443, 	Val Loss = 0.155053
Epoch 14, 	Batch:8, 	Train Loss = 0.164482, 	Val Loss = 0.155053
Epoch 14, 	Batch:9, 	Train Loss = 0.162833, 	Val Loss = 0.155053
Epoch 15, 	Batch:0, 	Train Loss = 0.084768, 	Val Loss = 0.135163
Epoch 15, 	Batch:1, 	Train Loss = 0.113717, 	Val Loss = 0.135163
Epoch 15, 	Batch:2, 	Train Loss = 0.137531, 	Val Loss = 0.135163
Epoch 15, 	Batch:3, 	Train Loss = 0.157248, 	Val Loss = 0.135163
Epoch 15, 	Batch:4, 	Train Loss = 0.153658, 	Val Loss = 0.135163
Epoch 15, 	Batch:5, 	Train Loss = 0.143213, 	Val Loss = 0.135163
Epoch 15, 	Batch:6, 	Train Loss = 0.152316, 	Val Loss = 0.135163
Epoch 15, 	Batch:7, 	Train Loss = 0.156838, 	Val Loss = 0.135163
Epoch 15, 	Batch:8, 	Train Loss = 0.166665, 	Val Loss = 0.135163
Epoch 15, 	Batch:9, 	Train Loss = 0.157426, 	Val Loss = 0.135163
Epoch 16, 	Batch:0, 	Train Loss = 0.300365, 	Val Loss = 0.297951
Epoch 16, 	Batch:1, 	Train Loss = 0.253086, 	Val Loss = 0.297951
Epoch 16, 	Batch:2, 	Train Loss = 0.229875, 	Val Loss = 0.297951
Epoch 16, 	Batch:3, 	Train Loss = 0.202569, 	Val Loss = 0.297951
Epoch 16, 	Batch:4, 	Train Loss = 0.190967, 	Val Loss = 0.297951
Epoch 16, 	Batch:5, 	Train Loss = 0.203052, 	Val Loss = 0.297951
Epoch 16, 	Batch:6, 	Train Loss = 0.208409, 	Val Loss = 0.297951
Epoch 16, 	Batch:7, 	Train Loss = 0.209671, 	Val Loss = 0.297951
Epoch 16, 	Batch:8, 	Train Loss = 0.215895, 	Val Loss = 0.297951
Epoch 16, 	Batch:9, 	Train Loss = 0.215062, 	Val Loss = 0.297951
Epoch 17, 	Batch:0, 	Train Loss = 0.181549, 	Val Loss = 0.172228
Epoch 17, 	Batch:1, 	Train Loss = 0.180766, 	Val Loss = 0.172228
Epoch 17, 	Batch:2, 	Train Loss = 0.179966, 	Val Loss = 0.172228
Epoch 17, 	Batch:3, 	Train Loss = 0.189365, 	Val Loss = 0.172228
